name,N,board_1,board_2,solution
puzzle_6,9,AAABBCCCCAAABBBCCCAAAABBCCCDDDEEFFFFDDDEEEFFFDDDDEEFFFGGGHHIIIIGGGHHHIIIGGGGHHIII,ABBBBCDDDABBBBCCDDAEBBBCCDDAEECCCDDFAEEEEEEEFAGGHHHEEFGGHHIIIEFGGHHIIIIFGGGHIIIIF,...x...x.x....x.....x....x.x...x......x...x......x...x.x....x.....x....x.x...x...
puzzle_7,9,AAABBCCCCAAABBBCCCAAAABBCCCDDDEEFFFFDDDEEEFFFDDDDEEFFFGGGHHIIIIGGGHHHIIIGGGGHHIII,AABBBCDDDAABBCCCCDAABBCCCCDAAACCCCDDAEFFFFFDGEEHHHHGGGEHHHHIIGGEHHHHIIGGEEEHIIIGG,.x.x...........x.x..x.x....x......x....x.x....x......x....x.x..x.x...........x.x.
puzzle_8,9,AAAABBCCCAAABBBCCCAAABBCCCCDDDDEEFFFDDDEEEFFFDDDEEFFFFGGGGHHIIIGGGHHHIIIGGGHHIIII,AAAABBBBBAAAACCCCDAAEECCCCDFFFEEEDDDFFFEEEDDDFFFEEEDDDFGGGGEEHHFGGGGHHHHIIIIIHHHH,.....x.x.x.x..........x.x...x......x...x.x...x......x...x.x..........x.x.x.x.....
puzzle_9,9,AAABBBCCCAAABBBCCCDAAEBBFCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGDHHEIIFGGGHHHIIIGGGHHHIII,AAAAAABBBAAAACCBBBCCCCCCBBDEEFFFBBDDEEFFFFFDDEEGGFFFDDEGGHHHHHHGGGHHIIIIGGGIIIIII,.x.x...........x.x..x.x....x......x....x.x....x......x....x.x..x.x...........x.x.
puzzle_10,9,AAAABBBCCAABBBBBCCAABBBCCCCDDDDEEEFFDDEEEEEFFDDEEEFFFFGGGGHHHIIGGHHHHHIIGGHHHIIII,AABBCCCCCAABBCCCCDAABCCEEEDAABFFEEEDAAFFFFFDDAGGGFFHDDAGGGIIHDDAIIIIHHDDIIIIIHHDD,..x.x....x......x...x..x...x......x....x.x....x......x...x..x...x......x....x.x..
puzzle_11,9,AABBBBCCCAABBBBCCCAABBBDDDDAAEEEDDDDFFFEEEDDDFFFFEEEGGFFFFHHHGGIIIHHHHGGIIIHHHHGG,AAAABBBCCAABBBBBCCAABBBCCCCDDDDEEEFFDDEEEEEFFDDEEEFFFFGGGGHHHIIGGHHHHHIIGGHHHIIII,...x..x...x......x....x.x...x......x...x.x...x......x...x.x....x......x...x..x...
puzzle_12,9,AAABCCDDDAAABCCDDDABBBCDDDDEBBBCDFDDEEFFFFFDDEEFEGHHHDEEEEGHHHIEEEGGHIIIEEEGGHIII,AAABBBCCCAAABBBCCCADDBEECFFADDBEECFFADGBEHCFIDDGEEHFFIDDGEEHFFIGGGHHHIIIGGGHHHIII,.x.x..........x.x.x.x..........x...x..x...x..x...x..........x.x.x.x..........x.x.
puzzle_13,9,AAAABCCCCABBBBCCCCDDBBBCCCCDDBBBEEEEDDDFFFEEEDDDDGGGEEHHHHGGGEEHHHHGGGGIHHHHGIIII,AAABBCCCCAAABBBCCCAAAABBCCCDDDEEFFFFDDDEEEFFFDDDDEEFFFGGGHHIIIIGGGHHHIIIGGGGHHIII,.x.x...........x.x..x.x....x......x....x.x....x......x....x.x..x.x...........x.x.
puzzle_14,9,ABBBCCCDDAABBECCDDAABBECCDDAABEEECCCAAFEEECGGFFFEEEHGGIIFFEHHGGIIFFEHHGGIIFFFHHHG,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,...x...x.x....x.....x....x.x...x......x...x......x...x.x....x.....x....x.x...x...
puzzle_15,9,AABBBCCCCAABBBBBCCAAAABBBCCDDEEEFFFFDDEEEEEFFDDDDEEEFFGGHHHIIIIGGHHHHHIIGGGGHHHII,AAABBCCCCAAABBCCCCAABBBBCCCDDEEEFFFCGDDEEEFFCGDDDEEEFFGGGHHHHIIGGGGHHIIIGGGGHHIII,..x..x...x......x...x.x....x......x....x.x....x......x....x.x...x......x...x..x..
puzzle_16,9,AAAAABBCCAAAAABBBCADDDABBBCDDDEEEBFCDDDEEEFFFGDHEEEFFFGHHHIFFFIGHHHIIIIIGGHHIIIII,AAABBBCCCAAABBBCCCAADBBECCFDDDEEEFFFDDDEEEFFFDDDEEEFFFDGGEHHFIIGGGHHHIIIGGGHHHIII,.x...x......x....x.x....x......x...x..x...x..x...x......x....x.x....x......x...x.
puzzle_17,9,AABBBCCCCAABBBCCCCAABBDCCEEFFBDDCCEEFFDDDDDEEFFGGDDHEEFFGGDHHIIGGGGHHHIIGGGGHHHII,AAABBBCCCAAABBBCCCDAAEBBFCCDDAEEBFFCDDDEEEFFFGDDHEEIFFGGDHHEIIFGGGHHHIIIGGGHHHIII,x.....x....x.x....x......x....x.x....x.....x....x.x....x......x....x.x....x.....x
puzzle_18,9,AAABBBBBBCCAABBBBBCCADBBEEECCCDDEEEECCDDDDDFFGGGGDDFFFGGGHHDIFFHHHHHIIFFHHHHHHIII,AAAABBCCCAABBBBBCCAAABBCCCCDDDDEEFFFDDEEEEEFFDDDEEFFFFGGGGHHIIIGGHHHHHIIGGGHHIIII,x.....x....x.x....x......x....x.x....x.....x....x.x....x......x....x.x....x.....x
puzzle_19,9,AABBBBCCCAAABBBCCCAAABBBBCCDDEEEEFFFDDDEEEFFFDDDEEEEFFGGHHHHIIIGGGHHHIIIGGGHHHHII,AABBBBBCCAABBBDCCCAABBDDCCCAABBDCCCCEEFFFFFCCEEEEGHHIIEEEGGHHIIEEEGHHHIIEEHHHHHII,...x...x.x....x.....x....x.x...x......x...x......x...x.x....x.....x....x.x...x...
puzzle_20,9,AAABBBCCCAAABBBCCCAAABBBCCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGGHHHIIIGGGHHHIIIGGGHHHIII,ABBBBBBBBAAABBBCCCAAAAADDCCEEADDDFFCGEEDDDFFCGEEDDDHFFGGDDHHHHHGGGIIIHHHIIIIIIIIH,.x.x...........x.x..x.x....x......x....x.x....x......x....x.x..x.x...........x.x.
puzzle_21,9,AABBBBCCCAAABBBCCCAAABBDDDDAAEBBDDDDEEEFFFDDDEEEEGGDHHEEEEGGHHHIIIGGGHHHIIIGGGGHH,AABBBCCCCAAABBBCCCAAAABBBCCDDEEEFFFFDDDEEEFFFDDDDEEEFFGGHHHIIIIGGGHHHIIIGGGGHHHII,....x.x...x......x...x..x...x......x...x.x...x......x...x..x...x......x...x.x....
puzzle_22,9,AAABCCDDDAABBCCDDDAABECCDDDAAEECCDDDFFEEEEEDDFFFGGEEHHFFFGGEIHHFFFGGIIHHFFFGGIHHH,AAABBBCCCAAABBBCCCDAAEBBFCCDDDEEEFFFDDDEEEFFFDDDEEEFFFGGDHHEIIFGGGHHHIIIGGGHHHIII,...x...x.x....x.....x....x.x...x......x...x......x...x.x....x.....x....x.x...x...
puzzle_23,9,AAAABBCCCAAADBBCCCAAADBBBCCAAADDBECCAAEEEEEFFGGEHIIFFFGGHHHIFFFGGGHHIFFFGGGHHFFFF,AAAABBCCCAAABBBCCCAAABBCCCCDDDDEEFFFDDDEEEFFFDDDEEFFFFGGGGHHIIIGGGHHHIIIGGGHHIIII,.x...x......x....x.x....x......x...x..x...x..x...x......x....x.x....x......x...x.
puzzle_24,9,AAAAABBCCDDAEEBBCCDDDDEBCCCDDDDEBCCCFFDEEEGCCFFFHEGGGGFFFHEGGGGFFHHEEIGGFFHHIIIII,AABBBCCCCAAAABCCCCAAAABBBCCDDEEEFFFFDDDDEFFFFDDDDEEEFFGGHHHIIIIGGGGHIIIIGGGGHHHII,x.x..........x.x...x......x...x.x....x.....x....x.x...x......x...x.x..........x.x
puzzle_25,9,AAAAABBBBAAACCDDDBCCCCCEDDBCCCEEEDDDFCFEEEDGDFFFEEEGGGHFFEGGGGGHFFFGGIIIHHHHIIIII,AAAABBCCCAAABBBCCCAAABBCCCCDDDDEEFFFDDDEEEFFFDDDEEFFFFGGGGHHIIIGGGHHHIIIGGGHHIIII,.....x.x.x.x..........x.x...x......x...x.x...x......x...x.x..........x.x.x.x.....
