name,N,board_1,board_2,board_3,board_4,board_5,board_6,solution,score,tier,is_solved
puzzle_14170,8,AAAABBBBCAAAABBBCCAADDBECCADDDDECFAFFDEECFFFFFFECGGHFFFECGHHHHHE,ABBBCCCCABBBBCDCAABBEEDDAABEEEEDAFFGGEDDFFFGGGGDFFFHGGGDFFHHHHHD,ABBBCCCCABBBBDCCAABBDDDEAABFDDDEGGFFFDEEGGGFFFFEGGGHFFEEGGHHFFFE,ABBBCCCCABBBBCCCAABBDCCEAABDDDDEAFGGDDEEFFFGGGEEFFFHGGEEFFHHHHHE,ABBBCCCCABBBBCCCAAABDDCEAAADDDDEAAFDGDEEFFFGGGGEFFFGGGGEFFHHHGGE,ABBBBBCCABBBBBCDAABBEECDAABEEEEDAFFGGEDDFFFGGDDDFFFHGGGDFFHHHHHD,......x...x.....x............x.........x....x....x.........x....,40,Beginner,True
puzzle_12533,8,AAAABCCCAAABBBCCAABBBBDDEFFFBDDDEFFFFDDDEEFGGHDDEEFGGHHHEGGGHHHH,AAAABCCCAAABBBCCAABBBBDCEFFBBDDDEFFFBGGGEEFHHGGGEEHHHHGGEEHHGGGG,AAAAABBBAAAAAABBAAACCCDDEFFCCDDDEFFFCDDDEEFGGHDDEGGGGHHHEGGGHHHH,AAABBCCCAAAABBCCAADBBBECFDDDBEEEFFDDBEEEFFDGGHEEFFGGGHHHFGGGHHHH,AAABBCCCAAABBBCCAAAABBDCEFFADDDDEFFFDDDDEEFGGHDDEGGGGHHHEEGGHHHH,AAABBCCDAAABBBCCAAABBBCCEAFFBCCCEFFFFCCCEEFGCCCCEEGGGHCHEEGGHHHH,.......x.x..........x.........x...x.....x..........x.........x..,44,Beginner,True
puzzle_17484,8,AAAAABBCAAAABBBCDDEEBBCCDDEEBBCCDDEEEFFCDDGEHFFFDGGHHHFFGGGHHHFF,AAAABBBCAAAABBBCDDEEEBCCDDEEEEEEDDEEEFEEDDGGGFFEDHGGGGFFHHGGGGGF,AAAABBBBAAAACDDBEEACCCBBEECCCCFBEECCCFFFEECCGFFFEHGGGGFFHHHGGGFF,AAAABBBCDABBBBBCDDEEBBCCDEEEEBCCDEEFFGGGDDHFFGGGHHHFFFGGHHHFFFGG,AAABCCCDEAABCCCDEEBBBCDDEEBBBBDDEEEBFGGDEEEFFGGGEHFFFFGGHHHFFFGG,AAAABBBCAAAABBBCDAAEBBCCDDEEEBCCDDEEEFFFDGGEHFFFGGGHHHHFGGGGGHFF,..x..........x.........x...x....x.............x.....x....x......,44,Beginner,True
puzzle_44442,8,AAABBBBCAAADBBBCAAADBBBCEADDDDDCEEDDFFFFEEGFFFFFEGGGFFHHEGGGHHHH,AAABBBCCAAABBBBCAAADBBBCEADDDDFCEEDDFDFFEGGGFFFFEGGGGFHHGGGGHHHH,AAABBCCCAAABBCCCAAADBBBCEADDDDFCEEDFFFFFEGGFFFFFGGGGFFHHGGGGHHHH,AAABBBCCAABBBBBCAAADBBCCEADDDFFCEADDFFFFEGGFFFFFGGGGFFHHGGGGHHHH,AABBBBCCAABBBBCDAAAEBBCDFAAEEEDDFFEEEDDDFGGEDDDDGGGGGDHHGGGGDDHH,AABBBCCCAAABBBCCAAADBCCCEDDDDDFCEEEDDFFFEEGGFFFFGGGGGFHHGGGGHHHH,.......x....x....x.........x....x............x....x...........x.,44,Beginner,True
puzzle_9431,8,ABBCCCCDABCCCCCDBBBBCCDDBBBEECDDBBEEEFFFBBEEGFFFHHHGGGFFHHHHGGFF,AAABBCCCADBBBCCCDDDBBCCEDDDBBCFFDDBBGGFFDDHBGFFFHHHGGGFFHHHHGGFF,AAABBBBCAAABBBBCADDEBBCCADDEEBCCDDEEEFCFDDEEGFFFHHHGGGFFHHHHGGFF,AAABBBBCDABBBBBCDDDEBBCCDDDEEBFCDDEEEFFFDDEEGFFFHHHGGGFFHHHHGGFF,AAABBBBCADDBBBBCDDDEBBCCDDDEECCCDDEEEEFCDDEEGEFFHHHGGGFFHHHHHGFF,AAABBBBCABBBBBBCDBDEBBCCDDDEEBCCDEEEEEFCDDEEEFFFGGGHHHFFGGGGHHFF,x............x.........x.x.........x..........x.....x.....x.....,45,Beginner,True
puzzle_9994,8,AAABBBBCAAAABBCCDAAEECCCDDEEECCCDDDEEFCCDDGGFFFHGGGGFHHHGGGGGHHH,AABBBBBCAAABBCCCDAECCCCCDDEEECCCDDFEGGCCDDFGGGCCDFFFGGCHFFFFGHHH,ABBCCCCCABBCCCDDABBECDDDABEEEDDDAAAEFGDHAAFFFGGHAFFFFGGHFFFFFGHH,AABBBBBCAAABBBBCAADDDCCCEDDDFFCCEEDDFFFFEEGGFFFFEEGGGFHHEEGGGHHH,AABBBBBBAAABBCCCAADDDCCCAADDDECCFFDDEEEEGGGEEEEEGGGEEEHHGGGGEHHH,AAABBBCCAAAACCCCAAADDCCCEDDDDFCCEEDDFFFFEGGGFFFFGGGGFFFFGGGGFFFH,....x....x............x....x....x............x....x............x,45,Beginner,True
puzzle_14507,8,AAAABBBCAAADBBBCEADDBBCCEEDDDBCCEEDDDFFCEEGDHFFFEGGHHHFFEEGGGHFF,AAAABBBCAAADBBBCEADDBBCCEDDDDBCFEEDDDFFFEEGHHFFFEGGHHHFFGGGGHHFF,AAAABBBCAAADDBBCEADDCCCCEDDDDCCCEEDDDFFCEEGHHFFFEGGGHHFFGGGGHFFF,AAAABBBCAAADBBBCEADDDBCCEEDDDBCCEEEDDFFCEEGDHFFFEGGHHHFFGGGGHHHF,AAAABBBCDDDEBBBCDDEEBBCCDDEEEBBCDEEFEBBBDDDFFGGGDHHFFFGGHHHHFFGG,AAAABBBCAAADBBBCEADDDBCCEEDDDDCCEEEDDFFCEEGHHFFFEGGHHHHFGGGGHHFF,.x...........x.........x...x....x.............x.....x.....x.....,45,Beginner,True
puzzle_62,8,ABBBBCCCAABBBBCCADDBCCCCDDDBECFFDDGEEEFFDGGGEFFFGGGGGFFHGGGGGHHH,AABBBCCCABBBBCCCDDBBCCECDDDDFCEEDDDDFFEEDDGDEEEEGGGGGEEHGGGGGHHH,AABBBCCCDDBBBCCCDDBBCCCCDDDBECFCDDDEEEFFDDGEEEFFGGGGEFFHGGGGEHHH,AABBBCCCADBBBCCCDDDECCCCDDEEECCFDDGEEEFFGGGGEFFFGGGGEFFHGGGGHHHH,AABBBCCCADBBBCCCDDDBCCCCDDDECCCFDDGEEEFFGGGGEFFFGGGGEFFFGGGGEFFH,AAABBCCCADABBCCCDDDBCCCCDDDEECFFDDGEEEFFDGGGEFFFGGGGEFFHGGGGHHHH,x..........x.........x...x..........x.........x...x............x,47,Beginner,True
puzzle_4227,8,ABBBBBCCAAABBDDCAAAADDDDEAAFFDDDEAAFFDDDEEGFFFHHEGGGFHHHEEGGGHHH,AAABBBCCAAAAADCCAAAADDCCEAADDDDCEEEFFDDDEEGFFFHHEGGGFHHHGGGGGHHH,ABBBBBCCAABBBCCCAAABDCCCEAADDDCCEEAFFDGCEEFFFFGGEHHFFGGGHHHHFGGG,AABBBBCCAABBBCCCAAABDDCCEAADDDDDEEEFFDGDEEFFFFGGEHHFFGGGHHHHFFFF,AABBCCCCAABBBCCCAAABDDDCEAADDDDDEEEFFDDDEEGFFFHHEGGGFHHHGGGGGHHH,AABBBBCCAABBBDCCEAABDDCCEAADDDDCEEEFFDDGEHHFFFGGEHHFGGGGHHHHGGGG,...x...........x.x...........x..x...........x.........x...x.....,47,Beginner,True
puzzle_22709,8,AABBBCCCABBBBCCCADDBBECCADDEEEEFAAAEEGFFAAHHGGGFAHHHGGGFAAHHHGGF,AABBBBCCAAAABCCCAAAADCCCAAADDDCEFFADDGCEFFFFFGGEFFHFFGGGFHHFFGGG,AAAAABBBCCAAABBBCCCDDDBECCDDDDEECCCCDDEEFFGCHHEEFGGGHHEEGGGGGEEE,ABBBBBCCAAABBCCCAAAADDCDAAADDDDDEEEDDDFFEEGGHHHFEGGGHHHHGGGGGHHH,AABBBBCCAAABBCCCAAAADDCEAAADDDEEFAADDDEEFFGHHHHEGGGHHHHHGGGGHHHH,ABBBCCCCAABBCCCCAAADDCCCEAADDDFFEEDDDFFFEEGHHHFFEGGGHHHHGGGGHHHH,...x..........x..x..........x..........xx............x....x.....,48,Beginner,True
puzzle_26661,8,AABBBCCCAABBBDCCABBBBDCCEEEBDDDCEEEEDDFFEEEEGFFFEHEGGGFFHHEGGGFF,AAABBCCCDDBBBECCDBBBBEECDDDBEEEEFDDDEEGGFFDDHGGGFFFFHHGGFFFFHHGG,AAABBCCDAABBBCDDABBBBCCCEEEBCCCCEEEECCFFEEEEGFFFHHHGGGFFHHHHGGFF,AAABBCCCAABBBCCCBBBBBDCCBEEBEDDCEEEEEDFFEEEEGFFFEGGGGGFFEHHGGGFF,AAABBCCCAABBBCDCABBBBDDCEEEBDDDDEEEEDDFFEEEEEFFFGGEHHHFFGGGGHHFF,AAABBCCCAABBBCCCADDBBECCADDDEEECDDDDEEFFGGDDHFFFGGGHHHFFGGGGHHFF,x..............x...x.........x....x...........x.....x....x......,48,Beginner,True
puzzle_271,8,AABBBBCCAABBBBCCADCCCCCCDDDCEECCDDDEEEFCGDGEEFFFGGGGHHFFGGGGHHHH,AABBCCCCADBBBBCCDDDBBCCCDDDEEEECDDDEEEEFGDGEEFFFGGGGEHFFGGGGHHHH,AAABBBCCAABBBBCCDAABBCCCDDBBEEFCDGGEEEFFGGGGEFFFGGGGGHFFGGGGGHHH,ABBBBBCCABBBBBCCDDBBBCCCDDDBEEFCDDDEEEFFDDGEEFFFGGGGGHFFGGGGHHHH,AAABBBCCAABBBBCCDDDBBEECDDDFFFECDDGFFFEEGGGGFEEEGGGGFHEEGGGHHHHH,AABBBBCCDDDBCCCCDDBBBCCCDDDEEECCDDDEEEFFDDGEEFFFGGGGEHFFGGGHHHHH,x..........x...........x.x..........x.........x...x..........x..,49,Beginner,True
puzzle_4502,8,AAABCCCCAABBCCCDABBBBCDDABBBEEDDFFFEEEEDFFFEEEGGHHFFGGGGHHFFGGGG,AAABCCCCAABBCCCDAEEBBCDDAEEBFFDDEEEFFFFDEEEEFFGDEHEEFFGGHHHHFFGG,AAABBCCCBABBCCCCBBBBBDCDBEEBFDDDEEEFFFDDEEEEFGGDHHEEGGGGHHHHGGGG,AAABCCCCAABBCCCCBBBBBCDDBBBBEEDDFFBEEEDDFFFFEEGDHHFFEGGGHHHHEGGG,AAABCCCCAABBCCCCABBBBCCCABBBDDCEFFFDDDDGFFFFDDGGHFFFGGGGHHHHGGGG,ABBBCCCDABBBCCCDABBBBCCDAEBBFCDDEEEFFFDDEEEEFFFDGGEEFHHHGGGEFHHH,x............x.....x...........x....x.....x...........x..x......,50,Beginner,True
puzzle_8096,8,AAAAABBBCDDABBBECDDDBBBECCDDBBEECFFFGEEEFFFFGHHEFFFGGHHHFFGGGGGH,AAABBCCCDAABCCCCDAAACCCEDDAACCEEDFFFGEEEFFFFGHHEFFFGGHHHFFGGGGHH,AAAABBBBCDDABBBBCDDDDBBECCDDDBEECFFFGHEEFFFFGHHEFFGGGHHEFFGGGGHH,ABBBBCDDABEBCCDDAEEECCDDAAEECCDDAFEFDDDDFFFFGHHDFFFGGHHHFFGGGGHH,AAAAABBBCCCABBBBDCCCBBBEDDDCBBEEFFFFEEEEFFFFGHHEFFFGGHHHFFGGGGHH,ABBBBCCCADDDCCCCADDDCCCCAAACCCECAFFCGEEHFFFFGEEHFFFGGEEEFGGGGGEE,...x.........x....x.....x..............x.x............x.....x...,50,Beginner,True
puzzle_12765,8,AAAABBBCAADBBBBCDDDDBBCCEDDFFCCCEFFFFGCCEEFFGGHHEEEFGGHHEEEGGHHH,ABACCCCDABACCCCDAAAACCDDEAAFFGDDEFFFFGGDEEFFGGGGEEEFGGHHEEEHHHHH,AAABBBBCAADBBBBCDDDEBBBCFDDEBGBCFEEEEGGCFFEEGGGGFFFEGGHHFFFHHHHH,AAABBBBCAADBBBBCDDDDBBCCDDDEBCCCEEEEECCCFFEEGGGCFFFEGGHHFFFEHHHH,AAABBCCCAADBBBBCAADDBBCCEFFFBCCCEFFFFGGCEEFFGGGGEEEFGGHHEEEFHHHH,AAABBBBCAADBBCCCDDDDBCCCDDDEECCCFEEEEGGCFFEEGGGGFFFEGGHHFFFHHHHH,.x..........x.....x............x...x.........x..x.............x.,51,Beginner,True
puzzle_311,8,AAABCCCCAAABBCCCADBBBBCEDDDBEEEEEEEEEEEEEEFEEGHHFFFGGGHHFFFFGGGH,AABBCCCCAABBBDDDAEBBBBDDEEEBFFFDEEEFFFDDEEGFFHDDGGGGHHHHGGGGHHHH,AABBCCCCAABBBCCCADBBBBCCDDDBEECFDDBBEEEFDDGEEHFFGGGHHHHFGGGGHHHF,AAABCCCCAABBBCCCADBBBBCCDDBBEEEFDDDEEEFFDDGEEHFFGGGGHHHFGGGGHHHF,AAABCCCCADABBCCCADBBBBCEADDDFFEEDDDFFEEEDDGFFHEEGGGGHHHEGGGGHHHE,AABBCCCCAABBBCCCADBBBBCEADDBFFFEDDDFFFFEDDGFFGEEHHGGGGGEHHHHGGGE,......x.x..........x.....x..........x..........x.....x....x.....,52,Beginner,True
puzzle_20428,8,AAAABBCCAAAACCCCAAAAACCDEEAAFDDDEEFFFGDGEEFFFGGGHHHFGGGGHHHHGGGG,AAABBBCCAAABBCCCAAAABCCDAAAABCDDEEFFGGDDEEFFFGGDHHHFGGGGHHHHGGGG,AAABBBCCDAAABCCCDAAAACCEDDAAAEEEDDFFFFEEFFFFFFGEHHFFGGGGHHHHHGGG,AAAAAABBAACAABBBAACCABBDEACFFDDDEEFFFGDDEHFFFGGDHHFFGGGGHHHFGGGG,AAAAAABBCCCAAABDCCCCCDBDECCCFDDDECCFFGDDEHHFFGGDHHHFGGGGHHHHGGGG,AAABBBCCAAAABCCCAAAAACCDEEAFADDDEEFFFGDDEFFFFGGDHFFFGGGGHHHFGGGG,....x.........x...x............xx..........x.........x...x......,52,Beginner,True
puzzle_41651,8,AAAABBBBAAAAABBCDDDAAECCFDDDDECCFDDDEEECFFDDGEECFHHHGGGGHHHGGGGG,AAAAABBBAAAAABBCDDDAACCCDDDDDCCCEDDDDFFCEEEGGFFCEHHGGGGGHHHHGGGG,AAAAABBBAAAAABBCDDDAACCCEEDDDFFFEEDDFFFFEEEGGFFFEHHGGGGGEHHGGGGG,AAAAABBCAAAAAABCDEEAAFCCDEEEFFCCDEEEFFFCDDEGGFFFDHHGGGGGHHHHGGGG,AAAAABBBAAAAAABCDEEAACCCDEEEFFCCDDEFFFFCDDEGGFFFDHHGGGGGHHHHHHHH,AAAAAABBAAAAAACCDEEAAFCCDEEAFFFCDDEFFFFCDDDGGFFFDHHGGGGGHHHHGGGG,......x....x...........x..x..........x..x...........x....x......,53,Beginner,True
puzzle_237,8,AABBBBBCAAABBBCCAADDBCCCDDDDDEECFGDDEEEEFGGGGEEEGGGGGGHEGGGGHHHH,AAABBBBCAAABBCCCAADDBCCCEEDDDFFCEDDDFFFFEEDGGFFFEEGGGHFFEEGGHHHH,AABBBBBCAAABBBCCAADDBBCCDDDDDEECDDDDEEEEFFGGGHEEFFGGGHEEFFGGGHEE,AAABBBBCAAABBBCCAADDBCCCEDDDDFFCEEDGDFFCEEEGGFFFEEGGGHHHEGGGHHHH,AABBBBBCAAABBBCCAADDBCCCEDDDDFFCEEGGFFFFEEGGFFFFEEEGGHHHEEGGHHHH,AAABBBBCAAAAABCCAADDACCCEDDDDFFCEDDDFFFFEEDGGHFFEEGGGHHHEEGGHHHH,....x....x.............x..x...........x.x..........x.........x..,54,Beginner,True
puzzle_6693,8,ABBBCCDDABBBBDDDABBBBDDDAEEEFDDDAEEEFFDDAGEFFFHHGGGFFHHHGGGGFHHH,AAABBBBBAAAAABBBCCAAADDDCCEEDDDDCEEEFDDDGEEFFFFHGGEFFFHHGGGGFHHH,AABBCCCCABBBBCBBAABBBBBBADDBEFFFAADDEEEFGDDEEEEHGDDEEEHHGGGGEHHH,AABBCCCCAABBBCCDAAEBBDDDAEEEEDDDEEEEEFDDGEEFFFDDGGGFFFHHGGGGFHHH,ABBBCCCCAAABBCDDAAABBDDDAAEEDDDDAEEEFDDDAEEFFFDGHHHFFFGGHHHHFGGG,AABBCCCCAABBBCDDAAABBDDDAEEBFDDDEEEEFFDGEEEFFFGGHHEFFFFGHHHHFFGG,.....x.....x....x.............x...x.........x..........x.x......,54,Beginner,True
puzzle_3727,8,AAAAABBCDAABBBBCDDEBBBCCDDEEBBCCDEEEEFFFDEEEGFFFHHEGGGFFHHHHGGFF,ABBBBCCCABBBCCCDAAEBCCDDAAEECCDDAEEEFGGDAEFFFGGGHHFFFFGGHHHFFFGG,ABBBBCCDAABBCCCDAAABCCDDAAAEECFDAEEEGFFFAEEGGFFFHEHGGGFFHHHGGGFF,AAABBCCDAEABCCCDAEABCCDDEEAAACDFEAAAAFFFGAAAHFFFGGGHHHFFGGGGHHFF,ABBBBCCCAADBCCCCAADBCCEEAADDCCEEADDDDFFFAGDHHFFFAGGGHHFFGGGHHHFF,ABBBBCCDAABBCCCDAAEBCCDDAAEECCDDAEEEEFFFAEEGGFFFAHGGGGGFAHGGGGFF,...x.........x.........xx.........x...........x.....x....x......,55,Beginner,True
puzzle_4264,8,AAABBBCCAAAABCCCAAAACCCCDAEEECCCDDFEEGGGDDFFFHGGDFFFFHHGDFFFHHHH,AABBBBBBAAABBCCCDAAEECCCDDEEEECCDDEEEFFCDDEEEFFFDGGEFFFFDGGGGHHF,AAABBBBCAAAABBCCDAAEECCCDDEECCCFDDEEEEFFDGGEEHHFGGGGHHHFGGGHHHHH,AAABBBCCAAADDCCCADDDCCCCEEDDDCCFEEEDGCFFEHHHGGFFEEHHHGGFHHHHGGGG,AAABBBCCAAADBBCCAADDDCCCEEDDDDCCEEEDDDCFEEGGHFFFGGGGHHHFGGGHHHFF,AAABBBCCAAABBBCCAAADBCCCEDDDDDCCEDFFFFFFEGGFFFFFGGGGHHFFGGGHHHHH,....x....x............x....x....x..............x..x..........x..,55,Beginner,True
puzzle_4505,8,AABBCCCCAABBBDCCABBBBDDCAEBFDDDCEEFFFDDDEEEFFGGGEEEFFGGGEEFFHHGG,AABBCCCCAABBDDCCABBBDDDCABBEDDDDFFEEEDDDFFFEEDDDFFFGGHHDFFGGGGHH,AABBCCCCAABBDDCCBBBBDDDCBEBFDDDDEEFFFDDDEEEFFGGGEEEFHGGGEEHHHHGG,AABBCCCCAABBDDDDABBBDDDDEEBFDDDDEEFFFDDGEEEFHGGGEEEHHGGGEEHHHGGG,AABBCCCCAABBDDCCABBBDDDCABBEDDDDFFEEEDGDFFFHHGGGFFFHGGGGFFHHHHHG,AABBCCCCAABBBDCCABBBBDDCABBEDDDDFFBEEDGGFFFEHGGGFFFHHGGGFFHHHHGG,.......xx.........x..........x.....x.....x............x.....x...,56,Beginner,True
