name,N,board_1,board_2,board_3,board_4,solution,score,tier,is_solved
puzzle_20920_rot90_rot180_flip_diag,8,AAAABBBBAAAABBBBCCACDDDDCCCCDDEEFFCCDDEEFFGHDEEEFFGHHHEEFFHHHHHE,AAAABBBBAAAABBBBCCCCDBDDEECCDDDDEECCDDFFEEECGHFFEEGGGHFFEGGGGGFF,AABCCCCCAABCCCCDAABBBCDDAABBBBDDEEFFFDDDEEEFFGGDEEFFHHHHEEFFHHHH,AAAABBCCAAAABBCCDEEBBCCCDDDBBBCCDDFFFFGGDDHFFFGGDHHHHFGGHHHHHFGG,...x...........x.x..........x...x............x....x...........x.,28,Beginner,True
puzzle_283_rot90_rot180_rot270,8,AABBCCCCAAABCCCCAAAAAADCEEEAAFDCEEEEFFFFEEGGFFFFGGGGHFFFGGGGHHHH,AAAABBBBCCCABBBBCCCCBBDDCCCCDDDDEFCGGDDDEFGGGGGGEEEEHGGGEEEEHHGG,AAAABBBCAADDBBBCAAEBBBBCAAEEBBCCFFEEGHHHFEEGGHHHEEEGGGHHEEEGGGHH,AABBBCCCAABBBCCCAAABBCCDAAABCCDDEEFFCCGGEFFFFCGGEFFFHHGGEFFFGGGG,.....x.....x....x.............x..x.............x....x.....x.....,28,Beginner,True
puzzle_289_rot180_flip_diag_flip_antidiag,8,AABBCCCCABBBCCCCAABBBDDDEABBBDDDEEFFBDDGEFFFBBGGFFFFBBGGFFFBBHHH,AAABBBCCADAABCCCDDDDCCCCDDDDCCCDEEDDDDDDEEFFFDDGEEFFFHHGEEFFHHHG,ABBBCCDDABBCCCDDAEECCCDDEEEEEEDDEFFFEEEEFFFFEEEEFFFGHHEHFFGGGHHH,AAABBCCCDDBBCCCCDDBBCCCEDFFBCCEEFFFBBBGEFFFBBBGGHHHHBBBGHHHHBBGG,..x.........x...x.............x..x.............x...x.........x..,28,Beginner,True
puzzle_561_rot90_flip_h_flip_antidiag,8,AAABBCCCAAADBBCCAAADDECCAAADDEEEFGGGGGEEFGGGGHEEFGGGGHEEFGGGGGEE,AAAAABBBAAAAABBBCDDCAAEBCCCCFFEECCCCFFFECCCCGGGGCCCCGGGGHHHHGGGG,AAAABBBBCCCCBBBBCCCCBBBBCCCCDDDECCCCDDEECFFCGGEHGGGGGHHHGGGGGHHH,AAABBCCCAABBDCCCAAEDDCCCEEEDDCCCEEFFFFFGEEHFFFFGEEHFFFFGEEFFFFFG,...x..........x..x..........x..........x..x..........x..x.......,28,Beginner,True
puzzle_13948_rot90_flip_v_flip_diag,8,AAABBBCCAABBBBCCAABDBBCCAADDDBCEFDDGDGGEFDDGGGGEHHHGGGGGHHHGGGGG,AAABBBCCAAAACCCCDDDDCCCCDDDEECCCDDEECCCCFDDEEEGGFFFFEEGGFFFFHHGG,AABBBCCCAABBBBCCAABBDBCCEABDDDCCEFFDFDDGEFFFFDDGFFFFFHHHFFFFFHHH,AAAABBCCAAAADDCCAEEDDDCCEEDDFFFFEEEDDFFFEEEEFFFFGGGGFFFFGGGHHHFF,....x....x............x....x....x..............x..x..........x..,29,Beginner,True
puzzle_39332_rot90_rot180_flip_antidiag,8,ABBCCCCCABBBCDDCABBBEDCCABEEEECCAAEEEEEEFFFEEGHGFFFGGGHGFFFGGGGG,AAAABCCCADAABEECADDBBCCCAABBBBCCAFFBBBCCFFFBBGGGFFFFHGGGHHHHHGGG,AAAAABBCADDABBBCAADEBBBCAAEEEEBCEEEEEECCFGFEEHHHFGFFFHHHFFFFFHHH,AAABBBBBAAABCCCCAAADDCCCEEDDDCCFEEDDDDFFEEEDDGGFEHHDFFGFEEEDFFFF,.......x.....x....x.....x..........x..........x..x..........x...,30,Beginner,True
puzzle_78904_rot90_rot180_flip_antidiag,8,AAAABBBBCCAABBBBCCDEBBFGCCDEEFFGDDDEEFFFDDEEFFFFEEEEHFFFEEEEHHHH,AAAABBBBCCCABBBBCCCCBBDDCCCBBDDDECCBBDFFECGGBDFFGGGGHHFFGGGGHHHH,ABBBCCDDABBBBBDDABBBBDDDAABEEDDDEEEEEEFFEEEGGGFFEEGGHHHFEEGGHHHF,AABBCCCDAABBCCCDAAABBBDDAAAAAADDEEFAAGGGEFFFFGGGEFFFFFGGEFFFHHGG,.....x.....x...........x.x............x.x.........x.........x...,30,Beginner,True
puzzle_44887_rot90_rot180_flip_diag,8,AAAAABBBAAAAABBBCCAAABDDCCCEEBDDCCCEEEDDFFCEEEGGFFEEEGGGHHHHGGGG,AABBBCCCAABBBCCCAAAADDCCEEEDDDDCEEEDDDDFEEEGGGDFEEGGGHHFEEGGGHHF,AAAABBBBAAACCCDDAACCCEDDFFCCCEEEFFGCCEEEFFGHHHEEGGGHHHHHGGGHHHHH,AAABBBCCAAABBBCCAADDCCCCADDDDEEEFDDDDEEEFDGGGEEEFHHGGGEEFHHGGGEE,....x.........x..x.........x...........xx............x....x.....,33,Beginner,True
puzzle_122_rot90_rot180_rot270,8,ABBBCCCCAABBCCCCAACCCCCDEEEFCCCDEEEFFCCDEFFFGHHHFFFGGGGHFFFGGGGG,AAAAABBBCAAAABBBCCCABBBDEFFBBDDDEFFFBDDDEFFFFFGGFFFFHHGGFFFFHHHG,AABBBCCCAAABBCCDAAABBEDDFFAAAEDDFFFAEEEEFFGEEEEEFFGEEEEEFGGHHHEE,AABBBCCDAAAAACDDAAAAACDDAAAAEDDDFFAEEEDDFFAGGEEEFHHGGEEEHHHGGGEE,...x.........x...x.............xx.............x...x.........x...,34,Beginner,True
puzzle_197_rot180_flip_diag_flip_antidiag,8,AAAABBBBCCAAADBBCCAADDBBCCCDDEBBCCFDDEEECCFGGEEECCFGGGGEHHGGGGEE,AABBBBCCABBBBDEEAAABBDEEAAAFFDEEGGAFFEEEGGFFHHEEGGFHHHEEGGGGHHHH,ABBBBBBCABBBBBBCAAABDDDEAAAFFEEEGAFFFEEEGFFHHHEEGGGGHHEHGGGGHHHH,AAAABBBBACAABBBBCCAAADDBCCCDDDEBCCCDDEEECFFFGEEEHGGGGGGEHGGGGGGE,.......x...x.........x...x............x...x.........x...x.......,34,Beginner,True
puzzle_5462_rot90_flip_h_flip_antidiag,8,AABBBCCCAAADDCCEAAFDDEEEAFFFDEEEFFFFDEEEGGFFHHHHGGFHHHHHGGFFHHHH,AAABBBBCAAABBBCCAAABBBCCAAADDDDEFAFFFDDEFFFFFFGEHHHFFGGGHHHFGGGG,AABBCCCCAABCCCCCAABBCCCCBBBBDEEEFBBBDEEEFFBDDEEEFFFDDGGEFFHHHGGG,ABBBBCCCAABBBCCCAABBBCCCDEEEECCCDEEFFFCFDGFFFFFFGGGFFHHHGGGGFHHH,...x..........x..x..........x..........xx............x....x.....,34,Beginner,True
puzzle_6320_rot90_rot180_flip_antidiag,8,ABBBBCCCABBBDCCCAADDDCCEADDDDDDEAFFDDDDEFFFFGGGGFFFFGGGGHHHHGGGG,ABBCCCCCABBBDCEEABBBDDEEABBDDDEEFFFDDDDEFFFDDGGGFFFDDGGGFFFHHHGG,AAAABBBBCCCCBBBBCCCCBBBBDCCEEEEFDEEEEEEFDDEEEGGFDHHHEGGGDHHHHGGG,AABBBCCCAAADDCCCAAADDCCCEDDDDCCCEEDDDFFGEEDDFFFGEEHDFFFGHHHHHFFG,..x..........x..x...........x..........x.x............x....x....,34,Beginner,True
puzzle_6848_rot90_rot180_flip_diag,8,AABBCCCCAABBCCCCAABBCCCDAABBCCCDEEBBBBFFEEBBBBFFGGGGHHFFGGGHHHFF,AAAABBCCAAAACCCCDDEECCCCDDEECCCCDFEEEEEEFFEEEEEEFFGGHHHHFFGGHHHH,AABBBCCCAABBCCCCAADDDDEEAADDDDEEFGGGDDHHFGGGDDHHGGGGDDHHGGGGDDHH,AABBCCCCAABBCCCCAADDDDDDEADDDDDDEEDDFFFFEEDDFFFFGGGGFFFFGGGGHHFF,.....x.....x...........x.x............x.x.........x.........x...,34,Beginner,True
puzzle_23080_rot90_rot180_flip_antidiag,8,AAABBBCCAAABBBCCAAADDBCCEEDDDDDFGEEDDDFFGGEEEDFFGGEEEEFFGGEEHHFF,AAAABCCCAAABBCCCBBBBDCCCBBBDDDEEFBBDDDEEFBDDDEEEGGGGDHHHGGGGGHHH,AABBCCDDAABBBBDDAABBBEDDABBEEEDDBBEEEEEDFFFEEGHHFFFGGGHHFFFGGGHH,AAABBBBBAAACBBBBDDDCCCEFDDCCCEEFDDCCCEEEGGGCEEEEGGGEEHHHGGGEHHHH,....x....x.............x...x....x.............x...x..........x..,35,Beginner,True
puzzle_6645_rot90_flip_v_flip_diag,8,AAAAAABBCCCDABBBECCDABBBECCDDFBBEDDDDFFFDDDDDFFFGGGGGFFFGGGGHHFF,AAAABBBBAAAABBBBCAAAABBDCEFFFDDDEEFFFFFDEEFFGGGDEEFFGGGDEEFHHHGD,AAAABBCCAAAAACCCDDDDDCCCEDDDDCCCEFFDDCGGEFFDHGGGFFFDHGGGHHHHHHGG,AAAABBBBAAAABBBBCAABBBBDCCCEEEFDCEEEEEFFCGGGEEFFCGGGEEFFCGHHHEFF,.....x....x............xx..........x..........x..x..........x...,35,Beginner,True
puzzle_2974_rot90_rot180_flip_diag,8,AABBBBBCAAAABBBCAADEEEECAADEEECCAFFFFECCGFFFFFHCGGFFFFHHGGGHHHHH,AAABBBBBAACCBBBBACCCDDBEFCCCGGBEFCCCGGEEFCCGGGEEFFFHHGEEFFHHHHHH,AAAAABBBAACCCCBBDACCCCCBDDECCCCFDDEEEGFFDEEEEGFFDHHHFFFFDHHHHHFF,AABBBBBBAAABBCDDAEECCCDDAEEECCDDAEEECCFDGEEEHHFDGGEEFFFFGGGFFFFF,......x..x..........x.....x............x.....x..x..........x....,39,Beginner,True
puzzle_7731_rot90_rot180_flip_diag,8,AAAABCCCBBBBBCCCDDBBBBCEDDBBBBEEFBBBBBEEFFBGGHHHFFGGHHHHFGGGGHHH,AABBBCCCAAABBCCCAADDDCCCDDDDDECEFDDDDEEEFDDDDDEEFDGGDHHEFDGGHHHH,AAABBBBCAAAABBCCAAABBDCCEEDDDDDCEEDDDDFFEGDDDDFFGGGDDDDDGGGDHHHH,AAABBBCCAAABBCCCAAADDDCCEAEDDDDDEEEDDDDFEEDDDDDFEGGDHHDFGGGGHHDF,...x..........x..x..........x..........xx.........x..........x..,39,Beginner,True
puzzle_1408_rot90_flip_h_flip_antidiag,8,AAAAABBBAAACCBBBDAAEEBBBDAFEEEBBDFFFFGGBDDFFFGHHDDDFFHHHDDDDDHHH,AAAAAABBAAACBBBBAACCCBBBACCCDDEBACCCDDEBFFGGDHHHFFFGHHHHFFFHHHHH,AAABBBBBAAACCBBBAAADDBBEAADDDFBEAGGFFFFEHHGFFFEEHHHFFEEEHHHEEEEE,AAABBBBBAAACBBBBAACCDBBBEFFFDDGHEFFFDDGHEEFFFHHHEEEFHHHHEEEEEEHH,.......x...x.....x..........x.........x...x..........x..x.......,40,Beginner,True
puzzle_3_rot90_rot180_rot270,8,ABBCCCCDABBCCCCDABBCCCDDABEFFCDDEEEGFHHHEEGGFFHHEEGGFFFHEGGGFFFH,ABBBCCCDABBBCCDDAABBCCDDAAABCDDDEEFBBDGHEEFFFGGHEFFFFGGHEFFFFGGH,AAAABBBBCAAADDDDCCCAADDDCCCCEFFFEEEEEFFFEEEGFFFFEEGGHHFFGGGGHHHH,AAAABBBBCCAABBDDCCCCBDDDCCCDDDDDCCCDEEEEFFFGGEEEFFFFGGGEHHHHGGGG,....x.....x...........x.x..............x.x...........x.....x....,40,Beginner,True
puzzle_700_rot180_flip_diag_flip_antidiag,8,ABBBBCCCABBBBCCCADDEECCCEEEEECCCEEEEEFFCEEGFFFFHEEGGGFFHGGGGGHHH,AAABBBBBACCCBBBBACCCBBBBDDCEEEFFDDCEEEFFDDDEEGFFDEEEEGFFDEEEEHHH,AAABBBBCDDEBBBBCDDEBBCCCDDBBBFCCDDBBBFCCGGGGFFFHGGGGFFFHGGGGGHHH,AAABBBBBACCBBBDDACCCCBDDECCDDDDDEEEDDDDDEEEDDFFGEEEHHHHGEEEHHHHG,x...........x.....x...........x..x...........x.....x...........x,40,Beginner,True
puzzle_27278_rot90_flip_v_flip_diag,8,AAAAAAABCCCDEEBBDDDDEEBBFDDDEEBBFDDDEEBBFDGGEEEEGGGGHHHHGGGGHHHH,AABBBCDEAACCCCDEAAACCCDEAAACCCCEFFGGGGGEFFGGGGGEFFGHHHHEFFGHHHHH,AAAABBBBAAAABBBBCDAAEEEECDDDEEFFCDDDEEFFDDDDEEFFGGGDEEFFHHHHHHHF,ABCDDDEEABCCCCEEABCCCEEEACCCCEEEAFFFFFGGAFFFFFGGAHHHHFGGHHHHHFGG,....x....x............x....x....x..............x..x..........x..,42,Beginner,True
puzzle_24778_rot90_rot180_flip_diag,8,ABBBCCCCABBBCCDDABBBDDDDAABBEDDDFFFGEDEEFFFGEEEEFFFGHHEEFFGGGGGE,ABBBBBCCAADDBCCCAAAABCCCAAEABCCCEEEAFFGGEEEEFFFGEEHHFFFGHHHHFFFG,AAAABBBBAAAABCCCDAAACCCCDDDDCCCCDEFFFGHHDEFGGGHHDFFFGGGHFFFFGGGH,AAAABBBBCCCABBBBCCCCBBBDCCCCDDDDEEFGGGHDEEFFFGHDEFFFGGGDEFFFGGGG,.....x.....x...........xx.............x..x..........x.....x.....,43,Beginner,True
puzzle_60759_rot90_rot180_flip_antidiag,8,AABBBCCCAABBBCCCAABBDCCCEEEDDCCCEEEDFFFGEEHHFFFGHHHHHFFFHHHHHFFF,AAABBBBBAAABBBBBCAAABBDDCAAAEDDDFFFEEDDDFFFEGGHHFFFGGGHHFFFGGGHH,AAABBBCCAAABBBCCDDDBBCCCDDDEECCCDDEEFFCCGGGGFFFFGGGGFFFFGGGGHHFF,AAAABBCCAAAACCCCAAAACCCCDDEECCFFDDDEEFFFDDDGGFFFHHHGGGFFHHHGGGFF,....x....x............x.x..........x...........x..x..........x..,43,Beginner,True
puzzle_21571_rot90_flip_h_flip_antidiag,8,AAABBCCCAAABBCCCAAABBCCCADDDEEECFFDEEEEEFFFFEEGHFFFGGGGHFFFGGGGH,AAABBCCCAAABBCCCAAABBCCCADDDEEECDDDDDEFFGHDDFFFFGHHHHFFFGHHHHFFF,AAAABBBBAAAACBBBAAACCBBBDDAECFFFDDEEEFFFDDEEEGGGDDDEEGGGHHHEGGGG,AAABCCCCDDDBBCCCDDBBBCCCDDBBBEEEDDFBGEEEFFFGGHHHFFFFGHHHFFFFHHHH,..x...........x....x.....x...........x.........x....x...x.......,46,Beginner,True
puzzle_2754_rot90_rot180_rot270,8,ABBBBCCCAABBDCCEAABBDDCEAAAFGGCEHHHFGGCCHHHFGCCCHHFFGFCCHHFFFFCC,AABBBBCCAABDBBCCAAADBCCCAADDBCCCEADDBFFFEAGGHHFFEAAGHHFFAAAHHHHF,ABBBAAAAAAAAAAAAAACDDAEEFCCDDDDEFFFEEEEEFFFGHHEEFGGGHHHHGGGGHHHH,AAAABBBBAAAABBBCDDAABCCCDDDDDCCCDEEEEFFCDDGEEFGGGGGGGGGGGGGGHHHG,.x.............x....x.....x..........x.....x....x.............x.,46,Beginner,True
puzzle_454_rot180_flip_diag_flip_antidiag,8,AAAABBCCAAABBDDDAEAABBDDEEAAADDDEEAFFGDDEEFFFGDDEEEFFGHDHHHHHHHH,ABBBBBBCAABBBBBCADDDBEBEAFFFGEEEAFFFGGEGAHFGGGGGAHHHHHGGAHHHHGGG,AAABBBBCAABBBBBCAAAAADBCAEAADDDCEEEADDDCEFEFGGGCHFFFFFCCHFFFFFFC,AAAAAAAABACDDEEEBBCDDDEEBBCDDFEEBBBFFFEEBBGGFFEFBBBGGFFFHHGGFFFF,.......x....x.....x...........x..x...........x.....x....x.......,46,Beginner,True
puzzle_11248_rot90_rot180_flip_antidiag,8,AAABCCCCAAABBBDDAABBBBDDEABBBBFFEEEBBBFFEEGBBFFFGGGGGHFFGGGHHHFF,AAABBBCCAAAAABCCDDAEECCCDDDEEECCDFEEEECCFFEEEEGGFFFEEEGGFFFEHHHH,AAABBBCCAAAABBCCAADDBCCCDDDDDDCEFDDDDDCEFDDDDGEEFHHGGGGGFHHGGGGG,AAAAABBCAAAAABBCDDAEEEECDFEEEEECDFEEEEEEFFFGEEHHFFGGHHHHFFGGGHHH,.....x....x............x...x....x.............x..x..........x...,49,Beginner,True
puzzle_13704_rot90_flip_v_flip_diag,8,AABBBCCCAABBBCCCAAAADCCCEAAADDDFEAAADDDFEEEEDDDFEEEEEGGFEHHHEGGG,ABBBACCCAAAAACCDAAAAEEEDAFFFEEEDAFFFEEEDFFFFEGGGFFHHHGGGFFHHHGGG,AAABBBBCAAADDDCCAAADDDCCEEDDDDFFEEGGGFFHEEGGGFFHGGGGGFFHGGGFFFFF,ABBBBCCCAADDDCCCAADDDCCCEEDDDDFFGEEHHHFFGEEHHHFFGEEHHHHHEEEEEHHH,...x..........x..x..........x..........xx............x....x.....,49,Beginner,True
puzzle_18950_rot90_rot180_flip_diag,8,AABBBCCCAABBBDDDAAAABDDDEEFFFDDDEEFFFDDDEFFFGHHHEEGGGHHHEGGGGHHH,AAAAABBBCADAABBBCCDDDBEECCDDDBEECCCDDEEEFFFGGGGHFFFGGGGHFFFGGGGH,ABBBBCCCAABBBCCCADDDBCCCAADDDEEEAADDDEEEFFFFGEEEFFGGGEEEFFGGGHHH,ABBBBCCCABBBBCCCABBBBCCCDDDEEFFFDDGEEEFFDDGEEEFFGGGHHEHFGGGHHHHH,.....x.....x....x.........x...........x.....x....x.............x,51,Beginner,True
puzzle_4654_rot180_flip_diag_flip_antidiag,8,AAAAAAAAAAAABBCCDEEBBCCCDEBBFCCCDDDFFFCCGDGFFFCHGGGGFFFHGGGGGFHH,AAABBBBCADBBBBBCDDDDBBECFDDDDEECFFDDEECCFFFGEHCCFFGGHHCCFFFGGGCC,AABBBCCCAADDBBCCAADEBCCCAAEEFFCCAEEFFFFCAEGGFFFFAGGGGGFHAGGGGHHH,AABCCCCCABBBCCCCADBBBCECDDBBBEEEDDDBFFGEDDDFFGGEDDFFHHHHHHHHHHHH,x...........x.....x...........x..x...........x.....x...........x,52,Beginner,True
puzzle_53455_rot90_flip_h_flip_antidiag,8,AAAAABBBAAAAABBBCCAAABBBDDDEEEFFDDDEGGGFDDHEGGGGDHHEHGGGHHHHHHGG,AAABBCCCAAAABCCCDAAAECCCDDAAEFFFDEEEEFFFDDDGGFFFDDGGGHFFDGGGGHFF,AAABBCCCAAABCCCCAAADCCCEFFFDCCEEFFFDDDDEFFFGGEEEFFHGGGEEFFHGGGGE,AAAAAABBCAADABBBCCADBBBBCCCDBBBECCCDDDEEFFGGGHHHGGGGGHHHGGGGGHHH,....x.........x..x.............x...x....x............x....x.....,52,Beginner,True
puzzle_93_rot90_rot180_rot270,8,AAABBBCCAAABBBCCAADBBCCCEADDDCCCEEEEDFFFGEEEDDFFGEEEDHHHGEEEHHHH,AAAABBBCAAADBBBCEEDDBBBCEEEDBBBBFFFDDDGBFFFHHDGGFFHHHGGGFFHHHGGG,AAABBCCCBBBBCCCCBBBBDDCCBBBBDEEEFDDDDEEEFFDGHHEEFFGGHHHHFFGGHHHH,AAAABBCCAAAABBCCDDAABECCDDDEEEECDDDEFFFFGGEEFFFFGGGGFFFFGGGFFHHH,.x.............x....x.....x..........x.....x....x.............x.,52,Beginner,True
puzzle_5137_rot90_rot180_flip_h,8,AAAAABBBAAACABBBDADCCBBDDDDDDDDDDEEEDDFFEEEEGFFFHEEGGGFFHHHHGGFF,AABBCCCCAAABCCCCAAABBCDDEEFBBDDDEFFBGGDHEEBBGGGHEEEBGGGHEEBBBGHH,AABBBCDDAAABCCCDAABBCCCDAEEBCCFDAAEBBFFFGGGBBHFFGGGBHHHHGGBBHHHH,AABCCCDDABBBCDDDABBBCCDDAEBBCFFDEEECCFDDEEGCCHHHGGGGCHHHGGGGCCHH,......x.x..........x.........x....x............x....x....x......,54,Beginner,True
puzzle_69550_rot90_rot180_flip_antidiag,8,AABBBBBCAAABBBBCDAEEEEBCDDEEEFFCDDGEGFFCDGGGGFFCDGGGGFFFGGHHHHFF,ABBBBBCCAAABBCCCDAAAEECFDAAEEEFFDAAAEEFFDGGGGEFFGGGGGFFFGGHHHHHH,AABBBBCCAAACCCCDEAACCCCDEAACFCDDEAAFFFDDEGFFFFHDEGGGGHHHEGGGGGHH,AABBBBBBAAAAACCCDAAAAECCDFFFEECCDFFEEECCDFFFEEGCFFFHHGGGFHHHHHGG,.....x.........x.x.........x....x...........x.........x...x.....,55,Beginner,True
puzzle_15624_rot90_flip_v_flip_diag,8,AAAABBBCDDAABBBCDDAABBCCDDEEEBCCFFGGEBBBFGGGBBBBFFGGBBBBFGGGGHHH,ABBBBCCCAABBDDDDABBBDDDDAABBEDDDFFEEEDGGFFHHDDGGFFHHDDDGHHHHDDDG,AAAABBBCDADABBBCDDDDECCCDDDDECCCDFFEEFFFGFFFFFFFGFFFHHFFGFFFHHHH,ABBBCCCCABBBCDCDAAAEDDDDAAAEDDDDFFFEEFFDFFFFFFFGFFHHFFFGHHHHFFFG,.....x.....x..........x..x..........x...x.........x............x,56,Beginner,True
puzzle_8223_rot90_rot180_flip_diag,8,AAABBBCCADDDDECCADDDEEECAADDEECCAAAEEEEEAFFGGGHHFFFGGGHHFFFGGGGG,AABBBBBBAAABBCCBAAABCCCBDDDECCCFDDDEEECFDDDEEEEFDGGEHEHHDGGEHHHH,AAAABCCDAABABCCDEBBBBDDDEFBBBDDDEFFFBDDDGFFFGHHHGFFGGHHHGGGGGGHH,AAABBBBBAAABBBCCDAABBBCCDDDEEEEEDDFFEEGGDFFFEEEGDFFFFEGGDDDHHHGG,...x..........x...x.....x............x.........x.x..........x...,56,Beginner,True
